,Player Name,Player Role,Player Age,Batting Style,Bowling Style,Team Name
0,Faf du Plessis,Middle order Batter,23,Right hand Bat,Not a Bowler,Royal Challangers Banglore
1,Akash Deep,Bowling Allrounder,23,Right hand Bat,Not a Bowler,Royal Challangers Banglore
2,Finn Allen,Top order Batter,24,Right hand Bat,Right arm Fast,Royal Challangers Banglore
3,Anuj Rawat,Wicketkeeper Batter,24,Left hand Bat,Right arm Medium fast,Royal Challangers Banglore
4,Avinash Singh,Bowler,31,Right hand Bat,Right arm Offbreak,Royal Challangers Banglore
5,Manoj Bhandage,Allrounder,25,Left hand Bat,Legbreak,Royal Challangers Banglore
6,Michael Bracewell,Batting Allrounder,31,Left hand Bat,Right arm Fast medium,Royal Challangers Banglore
7,Wanindu Hasaranga,Allrounder,37,Right hand Bat,Right arm Offbreak,Royal Challangers Banglore
8,Josh Hazlewood,Bowler,37,Left hand Bat,Right arm Offbreak,Royal Challangers Banglore
9,Kedar Jadhav,Batting Allrounder,32,Right hand Bat,Right arm Medium,Royal Challangers Banglore
10,Dinesh Karthik,Wicketkeeper Batter,34,Right hand Bat,Right arm Medium,Royal Challangers Banglore
11,Siddarth Kaul,Bowler,22,Right hand Bat,Slow Left arm Orthodox,Royal Challangers Banglore
12,Virat Kohli,Top order Batter,34,Right hand Bat,Right arm Offbreak,Royal Challangers Banglore
13,Mahipal Lomror,Allrounder,28,Left hand Bat,Right arm Fast,Royal Challangers Banglore
14,Glenn Maxwell,Batting Allrounder,33,Right hand Bat,Left arm Medium fast,Royal Challangers Banglore
15,Mohammed Siraj,Bowler,31,Right hand Bat,Right arm Medium,Royal Challangers Banglore
16,Wayne Parnell,Bowler,24,Left hand Bat,Right arm Medium,Royal Challangers Banglore
17,Harshal Patel,Bowler,26,Right hand Bat,Left arm Medium fast,Royal Challangers Banglore
18,Suyash Prabhudessai,Batting Allrounder,27,Right hand Bat,Slow Left arm Orthodox,Royal Challangers Banglore
19,Rajan Kumar,Bowler,24,Left hand Bat,Legbreak,Royal Challangers Banglore
20,Shahbaz Ahmed,Allrounder,35,Left hand Bat,Legbreak Googly,Royal Challangers Banglore
21,Himanshu Sharma,Bowler,23,Right hand Bat,Right arm Medium fast,Royal Challangers Banglore
22,Karn Sharma,Bowler,25,Left hand Bat,Right arm Medium,Royal Challangers Banglore
23,Sonu Yadav,Allrounder,23,Right hand Bat,Right arm Offbreak,Royal Challangers Banglore
24,Vijaykumar Vyshak,Bowler,29,Right hand Bat,Right arm Offbreak,Royal Challangers Banglore
25,Will Jacks,Batter,28,Right hand Bat,Left arm Fast medium,Royal Challangers Banglore
26,Rajat Patidar,Top order Batter,32,Right hand Bat,Left arm Fast medium,Royal Challangers Banglore
27,Reece Topley,Bowler,17,Right hand Bat,Not a Bowler,Royal Challangers Banglore
28,David Willey,Bowling Allrounder,18,Left hand Bat,Not a Bowler,Royal Challangers Banglore
29,MS Dhoni,Wicketkeeper Batter,41,Right hand Bat,Right arm Medium,Chennai Super Kings
30,Akash Singh,Bowler,20,Right hand Bat,Left arm Medium fast,Chennai Super Kings
31,Moeen Ali,Batting Allrounder,35,Left hand Bat,Right arm Offbreak,Chennai Super Kings
32,Bhagath Varma,Bowling Allrounder,24,Right hand Bat,Right arm Offbreak,Chennai Super Kings
33,Deepak Chahar,Bowler,30,Right hand Bat,Right arm Medium,Chennai Super Kings
34,Devon Conway,Wicketkeeper Batter,31,Left hand Bat,Right arm Medium,Chennai Super Kings
35,Tushar Deshpande,Bowler,27,Left hand Bat,Right arm Medium,Chennai Super Kings
36,Shivam Dube,Allrounder,29,Left hand Bat,Right arm Medium,Chennai Super Kings
37,Ruturaj Gaikwad,Batter,25,Right hand Bat,Right arm Offbreak,Chennai Super Kings
38,Rajvardhan Hangargekar,Bowling Allrounder,20,Right hand Bat,Right arm Fast medium,Chennai Super Kings
39,Ravindra Jadeja,Allrounder,33,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
40,Sisanda Magala,Bowler,31,Right hand Bat,Right arm Fast medium,Chennai Super Kings
41,Ajay Mandal,Allrounder,26,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
42,Matheesha Pathirana,Bowler,19,Right hand Bat,Right arm Fast,Chennai Super Kings
43,Dwaine Pretorius,Bowling Allrounder,33,Right hand Bat,Right arm Medium fast,Chennai Super Kings
44,Ajinkya Rahane,Top order Batter,34,Right hand Bat,Right arm Medium,Chennai Super Kings
45,Shaik Rasheed,Batter,18,Right hand Bat,Legbreak,Chennai Super Kings
46,Ambati Rayudu,Middle order Batter,37,Right hand Bat,Right arm Offbreak,Chennai Super Kings
47,Mitchell Santner,Bowling Allrounder,30,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
48,Subhranshu Senapati,Top order Batter,25,Right hand Bat,Right arm Medium,Chennai Super Kings
49,Simarjeet Singh,Bowler,24,Right hand Bat,Right arm Medium fast,Chennai Super Kings
50,Nishant Sindhu,Allrounder,18,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
51,Prashant Solanki,Bowler,22,Right hand Bat,Legbreak,Chennai Super Kings
52,Ben Stokes,Allrounder,31,Left hand Bat,Right arm Fast medium,Chennai Super Kings
53,Maheesh Theekshana,Bowler,22,Right hand Bat,Right arm Offbreak,Chennai Super Kings
54,Kyle Jamieson,Bowler,27,Right hand Bat,Right arm Fast medium,Chennai Super Kings
55,Mukesh Choudhary,Bowler,26,Left hand Bat,Left arm Medium,Chennai Super Kings
56,David Warner,Opening Batter,36,Left hand Bat,Legbreak,Dehli Capitals
57,Abishek Porel,Wicketkeeper Batter,20,Left hand Bat,Not a Bowler,Dehli Capitals
58,Khaleel Ahmed,Bowler,24,Right hand Bat,Left arm Medium,Dehli Capitals
59,Aman Hakim Khan,Allrounder,25,Right hand Bat,Right arm Medium,Dehli Capitals
60,Yash Dhull,Top order Batter,20,Right hand Bat,Right arm Offbreak,Dehli Capitals
61,Praveen Dubey,Bowler,29,Right hand Bat,Legbreak Googly,Dehli Capitals
62,Priyam Garg,Top order Batter,21,Right hand Bat,Right arm Medium,Dehli Capitals
63,Sarfaraz Khan,Middle order Batter,25,Right hand Bat,Legbreak,Dehli Capitals
64,Kuldeep Yadav,Bowler,27,Left hand Bat,Left arm Wrist spin,Dehli Capitals
65,Lalit Yadav,Allrounder,25,Right hand Bat,Right arm Offbreak,Dehli Capitals
66,Mitchell Marsh,Allrounder,31,Right hand Bat,Right arm Medium,Dehli Capitals
67,Mukesh Kumar,Bowler,29,Right hand Bat,Right arm Medium,Dehli Capitals
68,Mustafizur Rahman,Bowler,27,Left hand Bat,Left arm Fast medium,Dehli Capitals
69,Lungi Ngidi,Bowler,26,Right hand Bat,Right arm Fast medium,Dehli Capitals
70,Anrich Nortje,Bowler,28,Right hand Bat,Right arm Fast,Dehli Capitals
71,Vicky Ostwal,Bowler,20,Right hand Bat,Slow Left arm Orthodox,Dehli Capitals
72,Manish Pandey,Top order Batter,33,Right hand Bat,Right arm Medium,Dehli Capitals
73,Ripal Patel,Middle order Batter,27,Right hand Bat,Right arm Medium fast,Dehli Capitals
74,Axar Patel,Bowling Allrounder,28,Left hand Bat,Slow Left arm Orthodox,Dehli Capitals
75,Rovman Powell,Middle order Batter,29,Right hand Bat,Right arm Medium fast,Dehli Capitals
76,Rilee Rossouw,Top order Batter,33,Left hand Bat,Right arm Offbreak,Dehli Capitals
77,Chetan Sakariya,Bowler,24,Left hand Bat,Left arm Medium fast,Dehli Capitals
78,Phil Salt,Wicketkeeper Batter,26,Right hand Bat,Right arm Offbreak,Dehli Capitals
79,Ishant Sharma,Bowler,34,Right hand Bat,Right arm Fast medium,Dehli Capitals
80,Prithvi Shaw,Opening Batter,23,Right hand Bat,Right arm Offbreak,Dehli Capitals
81,Kamlesh Nagarkoti,Bowler,22,Right hand Bat,Right arm Fast,Dehli Capitals
82,Rishabh Pant,Wicketkeeper Batter,25,Left hand Bat,Not a Bowler,Dehli Capitals
83,Hardik Pandya,Allrounder,25,Right hand Bat,Right arm Fast,Dehli Capitals
84,Srikar Bharat,Wicketkeeper Batter,23,Right hand Bat,Left arm Fast medium,Dehli Capitals
85,Alzarri Joseph,Bowler,28,Right hand Bat,Legbreak Googly,Dehli Capitals
86,Josh Little,Bowler,33,Right hand Bat,Right arm Offbreak,Dehli Capitals
87,Abhinav Manohar,Batting Allrounder,32,Right hand Bat,Right arm Fast,Dehli Capitals
88,David Miller,Middle order Batter,24,Left hand Bat,Right arm Fast medium,Dehli Capitals
89,Mohammed Shami,Bowler,17,Right hand Bat,Left arm Wrist spin,Dehli Capitals
90,Darshan Nalkande,Bowler,24,Right hand Bat,Not a Bowler,Dehli Capitals
91,Noor Ahmad,Bowler,24,Right hand Bat,Legbreak Googly,Dehli Capitals
92,Urvil Patel,Wicketkeeper Batter,38,Right hand Bat,Not a Bowler,Dehli Capitals
93,Rashid Khan,Bowling Allrounder,26,Right hand Bat,Slow Left arm Orthodox,Dehli Capitals
94,Wriddhiman Saha,Wicketkeeper Batter,21,Right hand Bat,Legbreak,Dehli Capitals
95,Ravisrinivasan Sai Kishore,Bowler,32,Left hand Bat,Left arm Medium,Dehli Capitals
96,Sai Sudharsan,Top order Batter,31,Left hand Bat,Right arm Medium,Dehli Capitals
97,Pradeep Sangwan,Bowler,31,Right hand Bat,Right arm Medium,Dehli Capitals
98,Dasun Shanaka,Allrounder,34,Right hand Bat,Right arm Medium,Dehli Capitals
99,Vijay Shankar,Allrounder,23,Right hand Bat,Right arm Fast medium,Dehli Capitals
100,Mohit Sharma,Bowler,23,Right hand Bat,Right arm Offbreak,Dehli Capitals
101,Shivam Mavi,Bowler,26,Right hand Bat,Right arm Fast medium,Dehli Capitals
102,Shubman Gill,Opening Batter,29,Right hand Bat,Legbreak,Dehli Capitals
103,Odean Smith,Bowling Allrounder,34,Right hand Bat,Right arm Medium,Dehli Capitals
104,Rahul Tewatia,Bowling Allrounder,32,Left hand Bat,Right arm Offbreak,Dehli Capitals
105,Matthew Wade,Wicketkeeper Batter,24,Left hand Bat,Left arm Medium fast,Dehli Capitals
106,Jayant Yadav,Bowler,32,Right hand Bat,"Right arm Offbreak
                 

                  Notes:",Dehli Capitals
107,Yash Dayal,Bowler,17,Right hand Bat,Not a Bowler,Dehli Capitals
108,Kane Williamson,Top order Batter,18,Right hand Bat,Right arm Off Break,Dehli Capitals
109,Aiden Markram,Opening Batter,22,Right hand Bat,Slow Left arm Orthodox,Sunrisers Hyderabad
110,Abdul Samad,Batter,31,Right hand Bat,Right arm Offbreak,Sunrisers Hyderabad
111,Abhishek Sharma,Allrounder,24,Left hand Bat,Right arm Offbreak,Sunrisers Hyderabad
112,Mayank Agarwal,Batter,23,Right hand Bat,Right arm Medium,Sunrisers Hyderabad
113,Anmolpreet Singh,Batter,26,Right hand Bat,Slow Left arm Orthodox,Sunrisers Hyderabad
114,Harry Brook,Batter,22,Right hand Bat,Left arm Fast medium,Sunrisers Hyderabad
115,Mayank Dagar,Bowler,29,Right hand Bat,Slow Left arm Orthodox,Sunrisers Hyderabad
116,Fazalhaq Farooqi,Bowler,22,Right hand Bat,Left arm Medium fast,Sunrisers Hyderabad
117,Akeal Hosein,Bowler,22,Left hand Bat,Right arm Fast,Sunrisers Hyderabad
118,Marco Jansen,Bowling Allrounder,31,Right hand Bat,Right arm Offbreak,Sunrisers Hyderabad
119,Kartik Tyagi,Bowler,32,Right hand Bat,Right arm Medium,Sunrisers Hyderabad
120,Heinrich Klaasen,Wicketkeeper Batter,25,Right hand Bat,Legbreak,Sunrisers Hyderabad
121,Bhuvneshwar Kumar,Bowler,31,Right hand Bat,Left arm Medium,Sunrisers Hyderabad
122,Mayank Markande,Bowler,19,Right hand Bat,Right arm Medium fast,Sunrisers Hyderabad
123,T Natarajan,Bowler,25,Left hand Bat,Right arm Offbreak,Sunrisers Hyderabad
124,Nitish Kumar Reddy,Batting Allrounder,34,Right hand Bat,Legbreak,Sunrisers Hyderabad
125,Glenn Phillips,Wicketkeeper Batter,26,Right hand Bat,Right arm Medium,Sunrisers Hyderabad
126,Adil Rashid,Bowler,31,Right hand Bat,Right arm Medium,Sunrisers Hyderabad
127,Sanvir Singh,Allrounder,22,Right hand Bat,Right arm Fast,Sunrisers Hyderabad
128,Rahul Tripathi,Top order Batter,23,Right hand Bat,Legbreak Googly,Sunrisers Hyderabad
129,Umran Malik,Bowler,26,Right hand Bat,Legbreak Googly,Sunrisers Hyderabad
130,Vivrant Sharma,Allrounder,26,Left hand Bat,Right arm Offbreak,Sunrisers Hyderabad
131,Samarth Vyas,Allrounder,23,Right hand Bat,"Right arm Offbreak
                 

                  Notes:",Sunrisers Hyderabad
132,Upendra Yadav,Wicketkeeper Batter,17,Right hand Bat,Not a Bowler,Sunrisers Hyderabad
133,Washington Sundar,Bowling Allrounder,18,Left hand Bat,Right arm Off Break,Sunrisers Hyderabad
134,Nitish Rana,Middle order Batter,24,Left hand Bat,Right arm Fast medium,Kolkatta Knight Riders
135,Aarya Desai,Opening Batter,33,Left hand Bat,Not a Bowler,Kolkatta Knight Riders
136,Vaibhav Arora,Bowler,31,Right hand Bat,Right arm Fast,Kolkatta Knight Riders
137,Johnson Charles,Wicketkeeper Batter,20,Right hand Bat,Right arm Fast,Kolkatta Knight Riders
138,Lockie Ferguson,Bowler,27,Right hand Bat,Right arm Medium,Kolkatta Knight Riders
139,Harshit Rana,Bowler,26,Right hand Bat,Not a Bowler,Kolkatta Knight Riders
140,Venkatesh Iyer,Allrounder,30,Left hand Bat,Left arm Medium fast,Kolkatta Knight Riders
141,Narayan Jagadeesan,Opening Batter,30,Right hand Bat,Right arm Medium,Kolkatta Knight Riders
142,Kulwant Khejroliya,Bowler,34,Left hand Bat,Right arm Offbreak,Kolkatta Knight Riders
143,Mandeep Singh,Allrounder,20,Right hand Bat,Not a Bowler,Kolkatta Knight Riders
144,Sunil Narine,Bowling Allrounder,32,Left hand Bat,Not a Bowler,Kolkatta Knight Riders
145,Rahmanullah Gurbaz,Wicketkeeper Batter,23,Right hand Bat,Slow Left arm Orthodox,Kolkatta Knight Riders
146,Jason Roy,Opening Batter,34,Right hand Bat,Right arm Fast,Kolkatta Knight Riders
147,Anukul Roy,Allrounder,25,Left hand Bat,Right arm Offbreak,Kolkatta Knight Riders
148,Andre Russell,Allrounder,33,Right hand Bat,Right arm Medium fast,Kolkatta Knight Riders
149,Rinku Singh,Middle order Batter,19,Left hand Bat,Legbreak Googly,Kolkatta Knight Riders
150,Tim Southee,Bowler,31,Right hand Bat,Right arm Medium,Kolkatta Knight Riders
151,Suyash Sharma,Bowler,31,Right hand Bat,Legbreak Googly,Kolkatta Knight Riders
152,Shardul Thakur,Bowler,37,Right hand Bat,Right arm Medium fast,Kolkatta Knight Riders
153,Varun Chakravarthy,Bowler,35,Right hand Bat,Right arm Fast,Kolkatta Knight Riders
154,David Wiese,Allrounder,27,Right hand Bat,"Right arm Offbreak,",Kolkatta Knight Riders
155,Umesh Yadav,Bowler,28,Right hand Bat,Right arm Offbreak,Kolkatta Knight Riders
156,Shreyas Iyer,Top order Batter,35,Right hand Bat,Slow Left arm Orthodox,Kolkatta Knight Riders
157,Litton Das,Wicketkeeper Batter,17,Right hand Bat,Not a Bowler,Kolkatta Knight Riders
158,Shakib Al Hasan,Allrounder,18,Left hand Bat,Not a Bowler,Kolkatta Knight Riders
159,Krunal Pandya,Allrounder,22,Left hand Bat,Right arm Offbreak,Lucknow Super Giants
160,Avesh Khan,Bowler,29,Right hand Bat,Not a Bowler,Lucknow Super Giants
161,Ayush Badoni,Batter,34,Right hand Bat,Right arm Offbreak,Lucknow Super Giants
162,Quinton de Kock,Wicketkeeper Batter,25,Left hand Bat,Right arm Medium,Lucknow Super Giants
163,Krishnappa Gowtham,Bowling Allrounder,27,Right hand Bat,Right arm Offbreak,Lucknow Super Giants
164,Arpit Guleria,Bowler,28,Right hand Bat,Right arm Medium,Lucknow Super Giants
165,Deepak Hooda,Allrounder,30,Right hand Bat,Right arm Medium,Lucknow Super Giants
166,Prerak Mankad,Allrounder,39,Right hand Bat,Legbreak,Lucknow Super Giants
167,Kyle Mayers,Batting Allrounder,24,Left hand Bat,Left arm Medium fast,Lucknow Super Giants
168,Amit Mishra,Bowler,23,Right hand Bat,Right arm Medium fast,Lucknow Super Giants
169,Mohsin Khan,Bowler,27,Left hand Bat,Right arm Offbreak,Lucknow Super Giants
170,Naveen-ul-Haq,Bowler,22,Right hand Bat,Legbreak Googly,Lucknow Super Giants
171,Nicholas Pooran,Wicketkeeper Batter,30,Left hand Bat,Left arm Fast medium,Lucknow Super Giants
172,Ravi Bishnoi,Bowler,24,Right hand Bat,Right arm Offbreak,Lucknow Super Giants
173,Daniel Sams,Allrounder,27,Right hand Bat,Right arm Fast medium,Lucknow Super Giants
174,Karan Sharma,Allrounder,33,Right hand Bat,Right arm Medium,Lucknow Super Giants
175,Romario Shepherd,Bowling Allrounder,31,Right hand Bat,Slow Left arm Orthodox,Lucknow Super Giants
176,Marcus Stoinis,Batting Allrounder,31,Right hand Bat,Left arm Medium,Lucknow Super Giants
177,Swapnil Singh,Bowler,29,Right hand Bat,Right arm Medium,Lucknow Super Giants
178,Jaydev Unadkat,Bowler,32,Right hand Bat,Right arm Fast,Lucknow Super Giants
179,Manan Vohra,Opening Batter,23,Right hand Bat,Right arm Fast medium,Lucknow Super Giants
180,Mark Wood,Bowler,25,Right hand Bat,Right arm Medium fast,Lucknow Super Giants
181,Yash Thakur,Bowler,30,Right hand Bat,Not a Bowler,Lucknow Super Giants
182,Yudhvir Singh,Bowler,20,Right hand Bat,Right arm Medium fast,Lucknow Super Giants
183,KL Rahul,Wicketkeeper Batter,17,Right hand Bat,Not a Bowler,Lucknow Super Giants
184,Mayank Yadav,Bowler,18,Right hand Bat,Not a Bowler,Lucknow Super Giants
185,Rohit Sharma,Top order Batter,32,Right hand Bat,Left arm Fast medium,Mumbai Indians
186,Arshad Khan,Bowler,19,Left hand Bat,Legbreak,Mumbai Indians
187,Jason Behrendorff,Bowler,33,Right hand Bat,Legbreak,Mumbai Indians
188,Dewald Brevis,Batting Allrounder,26,Right hand Bat,Right arm Offbreak,Mumbai Indians
189,Piyush Chawla,Bowling Allrounder,21,Left hand Bat,Left arm Wrist spin,Mumbai Indians
190,Tim David,Middle order Batter,23,Right hand Bat,Right arm Fast medium,Mumbai Indians
191,Raghav Goyal,Bowler,24,Left hand Bat,Not a Bowler,Mumbai Indians
192,Cameron Green,Batting Allrounder,22,Right hand Bat,Left arm Fast,Mumbai Indians
193,Ishan Kishan,Wicketkeeper Batter,34,Left hand Bat,Right arm Fast medium,Mumbai Indians
194,Duan Jansen,Bowler,24,Right hand Bat,"Slow Left arm Orthodox,",Mumbai Indians
195,Chris Jordan,Bowler,28,Right hand Bat,Right arm Medium fast,Mumbai Indians
196,Kumar Kartikeya,Bowler,26,Right hand Bat,Right arm Fast,Mumbai Indians
197,Akash Madhwal,Bowler,25,Right hand Bat,Slow Left arm Orthodox,Mumbai Indians
198,Riley Meredith,Bowler,25,Right hand Bat,Right arm Medium,Mumbai Indians
199,Shams Mulani,Allrounder,31,Left hand Bat,Right arm Medium,Mumbai Indians
200,Ramandeep Singh,Middle order Batter,22,Right hand Bat,Right arm Offbreak,Mumbai Indians
201,Sandeep Warrier,Bowler,22,Right hand Bat,Right arm Offbreak,Mumbai Indians
202,Hrithik Shokeen,Bowler,23,Right hand Bat,Left arm Medium fast,Mumbai Indians
203,Tristan Stubbs,Wicketkeeper Batter,20,Right hand Bat,Right arm Offbreak,Mumbai Indians
204,Arjun Tendulkar,Bowler,28,Left hand Bat,Not a Bowler,Mumbai Indians
205,Tilak Varma,Batting Allrounder,22,Left hand Bat,Legbreak,Mumbai Indians
206,Vishnu Vinod,Wicketkeeper Batter,32,Right hand Bat,"Right arm Medium,",Mumbai Indians
207,Nehal Wadhera,Top order Batter,27,Left hand Bat,Right arm Fast,Mumbai Indians
208,Suryakumar Yadav,Batter,28,Right hand Bat,Right arm Fast,Mumbai Indians
209,Jofra Archer,Bowler,26,Right hand Bat,Right arm Fast,Mumbai Indians
210,Jasprit Bumrah,Bowler,17,Right hand Bat,Not a Bowler,Mumbai Indians
211,Jhye Richardson,Bowler,18,Right hand Bat,Not a Bowler,Mumbai Indians
212,Sanju Samson,Wicketkeeper Batter,32,Right hand Bat,Legbreak Googly,Rajasthan Royals
213,Abdul Basith,Allrounder,36,Right hand Bat,Right arm Offbreak,Rajasthan Royals
214,Murugan Ashwin,Bowler,29,Right hand Bat,Right arm Medium,Rajasthan Royals
215,Ravichandran Ashwin,Bowling Allrounder,33,Right hand Bat,Left arm Fast medium,Rajasthan Royals
216,KM Asif,Bowler,32,Right hand Bat,Not a Bowler,Rajasthan Royals
217,Trent Boult,Bowler,28,Right hand Bat,Legbreak,Rajasthan Royals
218,Jos Buttler,Wicketkeeper Batter,32,Right hand Bat,Legbreak Googly,Rajasthan Royals
219,KC Cariappa,Bowler,24,Right hand Bat,Not a Bowler,Rajasthan Royals
220,Yuzvendra Chahal,Bowler,25,Right hand Bat,Not a Bowler,Rajasthan Royals
221,Donovan Ferreira,Allrounder,31,Right hand Bat,Right arm Medium fast,Rajasthan Royals
222,Shimron Hetmyer,Top order Batter,20,Left hand Bat,Legbreak,Rajasthan Royals
223,Jason Holder,Bowling Allrounder,21,Right hand Bat,Not a Bowler,Rajasthan Royals
224,Yashasvi Jaiswal,Opening Batter,25,Left hand Bat,Left arm Fast medium,Rajasthan Royals
225,Dhruv Jurel,Wicketkeeper Batter,22,Right hand Bat,Right arm Offbreak,Rajasthan Royals
226,Obed McCoy,Bowler,21,Left hand Bat,Legbreak,Rajasthan Royals
227,Devdutt Padikkal,Top order Batter,20,Left hand Bat,Not a Bowler,Rajasthan Royals
228,Riyan Parag,Top order Batter,31,Right hand Bat,"Right arm Offbreak,",Rajasthan Royals
229,Kunal Singh Rathore,Wicketkeeper Batter,29,Left hand Bat,Right arm Fast,Rajasthan Royals
230,Joe Root,Top order Batter,29,Right hand Bat,Right arm Medium,Rajasthan Royals
231,Navdeep Saini,Bowler,26,Right hand Bat,Right arm Fast,Rajasthan Royals
232,Sandeep Sharma,Bowler,27,Right hand Bat,Slow Left arm Orthodox,Rajasthan Royals
233,Kuldeep Sen,Bowler,26,Right hand Bat,Left arm Fast medium,Rajasthan Royals
234,Akash Vasisht,Allrounder,30,Left hand Bat,Legbreak Googly,Rajasthan Royals
235,Kuldip Yadav,Bowler,26,Left hand Bat,Right arm Fast medium,Rajasthan Royals
236,Adam Zampa,Bowler,17,Right hand Bat,Not a Bowler,Rajasthan Royals
237,Prasidh Krishna,Bowler,18,Right hand Bat,Not a Bowler,Rajasthan Royals
238,Shikhar Dhawan,Opening Batter,32,Left hand Bat,Right arm Medium,Punjab Kings
239,Arshdeep Singh,Bowler,23,Left hand Bat,Legbreak Googly,Punjab Kings
240,Baltej Singh,Bowler,24,Right hand Bat,Left arm Medium fast,Punjab Kings
241,Rahul Chahar,Bowler,32,Right hand Bat,Right arm Medium fast,Punjab Kings
242,Sam Curran,Allrounder,28,Left hand Bat,Right arm Fast medium,Punjab Kings
243,Rishi Dhawan,Allrounder,22,Right hand Bat,Right arm Fast,Punjab Kings
244,Nathan Ellis,Bowler,27,Right hand Bat,Slow Left arm Orthodox,Punjab Kings
245,Gurnoor Brar,Bowler,31,Left hand Bat,Right arm Medium,Punjab Kings
246,Harpreet Brar,Bowler,23,Left hand Bat,Right arm Fast medium,Punjab Kings
247,Harpreet Singh,Batter,29,Left hand Bat,"Right arm Offbreak,",Punjab Kings
248,Vidwath Kaverappa,Bowler,23,Right hand Bat,Legbreak,Punjab Kings
249,Liam Livingstone,Batting Allrounder,22,Right hand Bat,Not a Bowler,Punjab Kings
250,Mohit Rathee,Allrounder,27,Right hand Bat,Right arm Fast,Punjab Kings
251,Prabhsimran Singh,Wicketkeeper Batter,31,Right hand Bat,Right arm Medium,Punjab Kings
252,Kagiso Rabada,Bowler,27,Left hand Bat,Right arm Offbreak,Punjab Kings
253,Bhanuka Rajapaksa,Top order Batter,29,Left hand Bat,Not a Bowler,Punjab Kings
254,M Shahrukh Khan,Batter,26,Right hand Bat,Right arm Offbreak,Punjab Kings
255,Jitesh Sharma,Wicketkeeper Batter,27,Right hand Bat,Right arm Offbreak,Punjab Kings
256,Shivam Singh,Middle order Batter,36,Right hand Bat,Right arm Offbreak,Punjab Kings
257,Matthew Short,Top order Batter,22,Right hand Bat,Slow Left arm Orthodox,Punjab Kings
258,Sikandar Raza,Batting Allrounder,33,Right hand Bat,Right arm Medium,Punjab Kings
259,Atharva Taide,Batting Allrounder,20,Left hand Bat,Right arm Medium fast,Punjab Kings
260,Jonny Bairstow,Wicketkeeper Batter,17,Right hand Bat,Not a Bowler,Punjab Kings
261,RajÂ Bawa,Allrounder,18,Left hand Bat,Not a Bowler,Punjab Kings
